domain,hn_stories,hn_points,source
ratfactor.com,13,2759,kagi-smallweb hn-popularity
antonz.org,13,2457,kagi-smallweb hn-popularity
openmymind.net,13,2440,kagi-smallweb
nicole.express,13,2024,kagi-smallweb hn-popularity
tratt.net,13,1949,kagi-smallweb hn-popularity
blog.gingerbeardman.com,13,1743,kagi-smallweb
ciechanow.ski,12,12859,kagi-smallweb hn-popularity
justine.lol,12,5967,kagi-smallweb hn-popularity
mtlynch.io,12,5536,kagi-smallweb hn-popularity
mitxela.com,12,5241,kagi-smallweb hn-popularity
nesbitt.io,12,5209,kagi-smallweb hn-popularity
brr.fyi,12,4599,hn-popularity
evanhahn.com,12,3885,kagi-smallweb hn-popularity
brendangregg.com,12,3871,kagi-smallweb hn-popularity
gatesnotes.com,12,3772,hn-popularity
chiark.greenend.org.uk,12,3633,hn-popularity
admiralcloudberg.medium.com,12,3107,hn-popularity
yosefk.com,12,2842,kagi-smallweb hn-popularity
underjord.io,12,2286,kagi-smallweb hn-popularity
muratbuffalo.blogspot.com,12,1953,kagi-smallweb hn-popularity hn-personal-blogs
eieio.games,11,6083,kagi-smallweb hn-popularity
ludic.mataroa.blog,11,5658,kagi-smallweb hn-popularity
overreacted.io,11,4584,kagi-smallweb hn-popularity
minimaxir.com,11,4455,kagi-smallweb hn-popularity
martinalderson.com,11,4184,kagi-smallweb hn-popularity
terriblesoftware.org,11,4075,kagi-smallweb hn-popularity
lalitm.com,11,3886,kagi-smallweb hn-popularity
blogsystem5.substack.com,11,3118,hn-popularity
astralcodexten.com,11,3107,hn-popularity
jyn.dev,11,3067,kagi-smallweb hn-popularity
olano.dev,11,2982,kagi-smallweb hn-popularity
bitecode.dev,11,2968,hn-popularity
blog.benjojo.co.uk,11,2783,kagi-smallweb hn-popularity
bellard.org,11,2762,hn-popularity
eugeneyan.com,11,2693,kagi-smallweb hn-popularity
steveblank.com,11,2677,kagi-smallweb hn-popularity
rubenerd.com,11,2651,hn-popularity
michael.stapelberg.ch,11,2615,kagi-smallweb hn-popularity
raymii.org,11,2285,kagi-smallweb hn-popularity
ianvisits.co.uk,11,1975,kagi-smallweb hn-popularity
surfingcomplexity.blog,11,1941,kagi-smallweb
vermaden.wordpress.com,11,1687,kagi-smallweb
bcantrill.dtrace.org,10,3833,kagi-smallweb
seths.blog,10,3635,kagi-smallweb hn-popularity
jsomers.net,10,3603,kagi-smallweb hn-popularity
vickiboykis.com,10,3260,kagi-smallweb hn-popularity
dwarkesh.com,10,3133,hn-popularity
jakelazaroff.com,10,2958,kagi-smallweb hn-popularity hn-personal-blogs
alexwlchan.net,10,2867,kagi-smallweb hn-popularity hn-personal-blogs
folklore.org,10,2699,hn-popularity
graydon2.dreamwidth.org,10,2676,hn-popularity
blog.yossarian.net,10,2420,kagi-smallweb hn-personal-blogs
computerenhance.com,10,2418,hn-popularity
antipope.org,10,2398,kagi-smallweb hn-popularity
jefftk.com,10,2304,kagi-smallweb hn-popularity hn-personal-blogs
mattkeeter.com,10,2182,kagi-smallweb hn-popularity hn-personal-blogs
corecursive.com,10,2167,hn-popularity
wingolog.org,10,2059,kagi-smallweb hn-popularity
brandur.org,10,2049,kagi-smallweb hn-popularity
morling.dev,10,1978,kagi-smallweb hn-personal-blogs
verdagon.dev,10,1865,kagi-smallweb hn-popularity
honest-broker.com,10,1852,hn-popularity
lock.cmpxchg8b.com,9,4200,hn-popularity
nolanlawson.com,9,3920,kagi-smallweb hn-popularity
jakeseliger.com,9,3856,hn-popularity hn-personal-blogs
da.vidbuchanan.co.uk,9,3729,kagi-smallweb hn-popularity hn-personal-blogs
dbushell.com,9,3499,kagi-smallweb hn-popularity
gilesthomas.com,9,3212,kagi-smallweb hn-popularity
danq.me,9,3077,kagi-smallweb
it-notes.dragas.net,9,2992,kagi-smallweb hn-popularity
micahflee.com,9,2799,kagi-smallweb hn-popularity
corrode.dev,9,2743,hn-popularity
jepsen.io,9,2716,hn-popularity
kevinboone.me,9,2605,kagi-smallweb
dbreunig.com,9,2592,kagi-smallweb hn-popularity
allenpike.com,9,2499,hn-popularity hn-personal-blogs
blog.cryptographyengineering.com,9,2491,kagi-smallweb hn-popularity
viewfromthewing.com,9,2463,hn-popularity
gaultier.github.io,9,2380,kagi-smallweb
ascii.textfiles.com,9,2320,kagi-smallweb hn-popularity
ben-evans.com,9,2105,kagi-smallweb hn-popularity
en.andros.dev,9,2011,kagi-smallweb
calnewport.com,9,1934,kagi-smallweb hn-popularity
popovicu.com,9,1928,kagi-smallweb hn-popularity
notes.eatonphil.com,9,1894,kagi-smallweb hn-personal-blogs
ssp.sh,9,1871,kagi-smallweb
lilianweng.github.io,9,1825,kagi-smallweb
softwaredoug.com,9,1777,kagi-smallweb hn-personal-blogs
masteringemacs.org,9,1753,kagi-smallweb hn-popularity
